dataset,learning_rate,epochs,batch_size,activation,nodes_per_layer,num_layers,optimizer,target_indices,target_vals,mod_indices,new_vals,threshold,strategy,loss,epsilon,lrdecay,method,fixed_seed,chtc_num,min_acc_test_orig,avg_acc_test_orig,max_acc_test_orig,stdev_acc_test_orig,min_acc_train_orig,avg_acc_train_orig,max_acc_train_orig,stdev_acc_train_orig,min_acc_test_shift,avg_acc_test_shift,max_acc_test_shift,stdev_acc_test_shift,min_acc_train_shift,avg_acc_train_shift,max_acc_train_shift,stdev_acc_train_shift,top1_orig,top1_25_orig,top1_75_orig,top2_orig,top2_25_orig,top2_75_orig,top3_orig,top3_25_orig,top3_75_orig,top4_orig,top4_25_orig,top4_75_orig,top5_orig,top5_25_orig,top5_75_orig,gradnorm_orig,gradnorm_25_orig,gradnorm_75_orig,top1_shift,top1_25_shift,top1_75_shift,top2_shift,top2_25_shift,top2_75_shift,top3_shift,top3_25_shift,top3_75_shift,top4_shift,top4_25_shift,top4_75_shift,top5_shift,top5_25_shift,top5_75_shift,gradnorm_shift,gradnorm_25_shift,gradnorm_75_shift,top1_orig_compare,top1_25_orig_compare,top1_75_orig_compare,top2_orig_compare,top2_25_orig_compare,top2_75_orig_compare,top3_orig_compare,top3_25_orig_compare,top3_75_orig_compare,top4_orig_compare,top4_25_orig_compare,top4_75_orig_compare,top5_orig_compare,top5_25_orig_compare,top5_75_orig_compare,gradnorm_orig_compare,gradnorm_25_orig_compare,gradnorm_75_orig_compare,top1_shift_compare,top1_25_shift_compare,top1_75_shift_compare,top2_shift_compare,top2_25_shift_compare,top2_75_shift_compare,top3_shift_compare,top3_25_shift_compare,top3_75_shift_compare,top4_shift_compare,top4_25_shift_compare,top4_75_shift_compare,top5_shift_compare,top5_25_shift_compare,top5_75_shift_compare,gradnorm_shift_compare,gradnorm_25_shift_compare,gradnorm_75_shift_compare
whobin_75,0.2,10,128,soft,100,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481490,0.4663023679417122,0.5965391621129321,0.843351548269581,0.12524712549906372,0.48633879781420764,0.5566120218579235,0.8245294474802671,0.05744756030172254,0.49453551912568305,0.711079234972678,0.8510928961748634,0.12474323340211363,0.5168488160291439,0.6943852459016395,0.8843351548269581,0.1188316191452446,0.058383838383838385,0.05555555555555555,0.06181818181818182,0.11494949494949495,0.11242424242424243,0.11818181818181818,0.1719191919191956,0.16868686868687227,0.17474747474747865,0.22686868686868686,0.2242929292929293,0.23030303030303031,0.28250505050506425,0.2798787878788011,0.2855757575757703,0.00518365008488119,0.00476219463375176,0.0057611502911334945,0.12222222222222222,0.10242424242424242,0.16414141414141414,0.19494949494949496,0.181010101010101,0.2198989898989899,0.2563636363636368,0.2460606060606076,0.27095959595959396,0.3142929292929293,0.30395202020202017,0.32323232323232326,0.36660606060607626,0.35439393939395436,0.37500000000001443,0.04806438035883279,0.036749421583193685,0.05729733169458091,0.46,0.44,0.49,0.52,0.5,0.54,0.56,0.5433333333333333,0.5800000000000001,0.595,0.575,0.615,0.624,0.6079999999999997,0.6419999999999999,0.4436189928373055,0.3767384667535977,0.6128515393706434,0.46,0.43,0.49,0.52,0.505,0.54,0.5633333333333332,0.5433333333333334,0.58,0.595,0.575,0.615,0.6239999999999999,0.606,0.6419999999999999,0.4747684833103203,0.38021986850909834,0.620189963578075
whobin_75,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481477,0.8597449908925319,0.8747905282331516,0.8888888888888888,0.006605872084255301,0.8864602307225258,0.9049969641772921,0.9162112932604736,0.00488943162706528,0.8524590163934426,0.874193989071038,0.8866120218579235,0.006486108037935349,0.8979963570127505,0.9175409836065572,0.9285063752276868,0.0055774152636641865,0.9602020202020202,0.9216161616161617,0.98,0.7070707070707071,0.6723232323232323,0.7395959595959596,0.730101010100988,0.6983164983164744,0.7639730639730417,0.7483838383838384,0.7096464646464646,0.7877272727272727,0.7444040404040568,0.6986666666666742,0.7802828282828539,0.7849835321262746,0.73490179858618,0.9596453870679651,0.9602020202020202,0.9406060606060606,0.98,0.733030303030303,0.7105050505050505,0.7646969696969697,0.8578787878787746,0.8153367003366787,0.9108417508417486,0.7515404040404041,0.7316666666666667,0.7778787878787878,0.7088080808080929,0.6824141414141355,0.7305353535353643,0.8334322409660628,0.7862617641771664,1.041258872692043,0.97,0.95,0.98,0.885,0.865,0.91,0.8600000000000001,0.8433333333333333,0.8733333333333337,0.865,0.8525,0.88,0.8579999999999991,0.8459999999999992,0.8679999999999995,1.4637000054545972,1.3257837945392403,1.8927639189721488,0.965,0.95,0.98,0.885,0.86,0.905,0.856666666666667,0.8366666666666669,0.8733333333333334,0.865,0.85,0.8775,0.857999999999999,0.845999999999999,0.8679999999999992,1.4919679185937675,1.3376521863112318,2.047422589739706
whobin_62,0.2,10,128,soft,25,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481494,0.4650655021834061,0.5150873362445417,0.7838427947598253,0.07241545097624316,0.46938775510204084,0.5093075801749269,0.5918367346938775,0.01859096572475167,0.48770491803278687,0.5443579234972671,0.8743169398907104,0.09403104901152474,0.51183970856102,0.5452732240437157,0.8702185792349727,0.06134510848493748,0.054343434343434346,0.052525252525252523,0.056363636363636366,0.11050505050505051,0.1087878787878788,0.11262626262626263,0.16666666666667007,0.16493265993266298,0.16868686868687205,0.2222222222222222,0.2207070707070707,0.22443181818181818,0.27822222222223547,0.276616161616175,0.2798686868686997,0.004159138414327652,0.003874944387550253,0.004422598443797109,0.055353535353535356,0.05313131313131313,0.05757575757575758,0.11212121212121212,0.11,0.11414141414141414,0.1683501683501718,0.16619528619528917,0.17063973063973403,0.22424242424242424,0.22207070707070706,0.2264141414141414,0.2799595959596092,0.2778989898990035,0.2819393939394073,0.016198513860863108,0.006437324502380647,0.019336180816238165,0.77,0.74,0.8,0.805,0.785,0.825,0.8233333333333336,0.8100000000000002,0.84,0.84,0.83,0.85,0.8499999999999993,0.8399999999999994,0.8599999999999995,0.24913351946550433,0.03386967545819994,0.4018398986390478,0.77,0.7475,0.8,0.805,0.785,0.825,0.8233333333333335,0.8100000000000002,0.8399999999999999,0.8375,0.8275,0.8475,0.8499999999999994,0.8414999999999992,0.8599999999999993,0.34517372842986466,0.041002809027027146,0.4085135581031363
whobin_62,0.001,10,128,soft,75,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481473,0.8427947598253275,0.8605021834061133,0.8755458515283843,0.006592982673247231,0.8899416909620991,0.9105174927113704,0.922740524781341,0.00608838835367782,0.8784153005464481,0.8994808743169393,0.9193989071038251,0.006014591531953466,0.9043715846994536,0.920054644808743,0.9289617486338798,0.004587000529042678,0.98,0.9604040404040404,1.0,0.759090909090909,0.7162373737373737,0.8017171717171717,0.820101010100992,0.7596464646464428,0.8534511784511696,0.7652525252525253,0.7259848484848486,0.7916287878787879,0.7413535353535489,0.6855959595959609,0.7719494949495214,0.8570447280993341,0.7783656870480138,0.9864891846704702,0.9604040404040404,0.9602020202020202,0.98,0.8542929292929293,0.8034343434343434,0.9061616161616162,0.9295286195286154,0.8769528619528533,0.9606734006733956,0.8125,0.7659090909090909,0.8342676767676768,0.7539595959596141,0.6986464646464643,0.7779090909091203,0.9650482696834958,0.883693801878716,1.1448139210375483,0.98,0.97,0.99,0.89,0.845,0.915,0.9066666666666667,0.8833333333333335,0.9200000000000003,0.84,0.825,0.8525,0.8139999999999987,0.8019999999999989,0.8259999999999988,2.599773093145081,1.7599115590099517,3.1979058241268503,0.98,0.97,0.99,0.88,0.835,0.91125,0.9033333333333335,0.8833333333333335,0.9233333333333333,0.835,0.8225,0.8475,0.8119999999999991,0.799999999999999,0.8224999999999991,2.665495611502177,1.8478800487361073,3.3103449304276973
whobin_94,0.001,10,128,soft,25,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481479,0.8369723435225619,0.8559679767103345,0.8719068413391557,0.008232531713580444,0.869290573372206,0.8963313896987367,0.9120505344995141,0.007224981243708334,0.860655737704918,0.8815163934426229,0.9016393442622951,0.00687649880236393,0.8793260473588342,0.8982741347905281,0.9093806921675774,0.00508099394287966,0.8105050505050505,0.7262626262626263,0.8833333333333333,0.6272727272727273,0.604090909090909,0.6590404040404041,0.6768350168349948,0.6443097643097486,0.707878787878768,0.7222222222222222,0.6881313131313131,0.7540909090909091,0.7299393939394083,0.6950505050505136,0.7734343434343689,0.8312338641168084,0.668961612301838,0.9200584604582118,0.8751515151515152,0.8121212121212121,0.9212121212121213,0.6683333333333333,0.6424747474747474,0.7098484848484848,0.7154882154881974,0.669141414141393,0.7679797979797764,0.6998989898989899,0.6597979797979798,0.7628409090909091,0.6754141414141461,0.6411616161616163,0.7331212121212348,0.8013259722756985,0.6618988050475928,0.9041464516973154,0.9,0.87,0.94,0.83,0.815,0.85,0.85,0.8333333333333336,0.8633333333333336,0.86,0.85,0.875,0.8519999999999993,0.8419999999999994,0.8619999999999993,1.1749220626932988,0.9485745092166914,1.5815419345727753,0.9,0.87,0.93,0.83,0.815,0.85,0.846666666666667,0.8333333333333335,0.8633333333333334,0.86,0.85,0.873125,0.8519999999999991,0.8419999999999992,0.8619999999999992,1.165155577945153,0.880307401380691,1.6408453269353298
whobin_94,0.2,10,128,soft,75,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481484,0.47889374090247455,0.6064483260553131,0.8471615720524017,0.13554584136791728,0.49222546161321673,0.6033624878522837,0.8449951409135082,0.1023791438715635,0.4959016393442623,0.6329234972677595,0.8811475409836066,0.14329884806053023,0.49954462659380694,0.6311475409836066,0.8592896174863388,0.11413728902270315,0.06767676767676768,0.06323232323232324,0.07535353535353535,0.12505050505050505,0.12065656565656566,0.13217171717171716,0.18296296296296674,0.17804713804714206,0.18922558922559335,0.23994949494949494,0.23474747474747476,0.24515151515151515,0.2953131313131451,0.29038383838385234,0.30028282828284314,0.017136430232271564,0.014818018490399334,0.021384028521380875,0.07848484848484849,0.07090909090909091,0.09176767676767676,0.13348484848484848,0.12744949494949492,0.14537878787878789,0.19148148148148564,0.18449494949495315,0.2008080808080841,0.24891414141414142,0.24217171717171718,0.2574368686868687,0.3039595959596093,0.29792929292930626,0.310676767676781,0.024626951209258473,0.02115841851964153,0.026916557893197926,0.84,0.81,0.86,0.855,0.835,0.875,0.8766666666666667,0.8616666666666668,0.8900000000000002,0.8875,0.8775,0.9,0.8979999999999992,0.8899999999999992,0.9059999999999993,0.11289817716856011,0.0987091699611281,0.12290650705936215,0.83,0.81,0.86,0.855,0.835,0.875,0.8766666666666666,0.8600000000000003,0.89,0.8875,0.8775,0.9,0.8979999999999994,0.8899999999999995,0.9059999999999995,0.11347983973641171,0.10006892764590979,0.12335482937749345
whobin_75,0.2,10,128,relu,25,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480267,0.4663023679417122,0.862495446265938,0.9016393442622951,0.0467577768269262,0.5853066180935034,0.85277474195507,0.9022465088038859,0.04928683961906455,0.6857923497267759,0.8603961748633877,0.9112021857923497,0.034852238290249964,0.7244990892531876,0.8985245901639344,0.9198542805100182,0.019619325504504848,0.39090909090909093,0.32222222222222224,0.5232323232323233,0.3844444444444444,0.3504040404040404,0.43212121212121213,0.3982491582491557,0.37494949494948854,0.4317845117845087,0.4220707070707071,0.4013131313131313,0.44803030303030306,0.44949494949495356,0.43329292929293606,0.47571717171717415,0.1218911566041261,0.09386978548230437,0.20136374996000778,0.5804040404040404,0.3518181818181818,0.693939393939394,0.5265656565656566,0.47,0.5648737373737374,0.5142760942760936,0.4902861952861939,0.5542424242424181,0.5279545454545455,0.5017550505050505,0.5688383838383838,0.5430707070707025,0.5165252525252504,0.5811919191919157,0.17795531959033073,0.1333272204941683,0.2939207893182648,0.63,0.56,0.7,0.625,0.6,0.66,0.6533333333333331,0.6333333333333331,0.6799999999999997,0.6775,0.6525,0.7,0.6959999999999995,0.6759999999999998,0.716,0.7773846480485144,0.5537285415657806,1.1997748637535937,0.62,0.5575000000000001,0.7,0.63,0.595,0.655,0.6533333333333332,0.6333333333333331,0.6799999999999997,0.6775,0.655,0.6975,0.6959999999999994,0.6759999999999997,0.7159999999999993,0.8305753928302884,0.5732717695875058,1.2690471098795209
whobin_50,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481469,0.8032786885245902,0.8466393442622953,0.8879781420765027,0.017382096218637847,0.8688524590163934,0.8877959927140253,0.9116575591985429,0.009216109756410575,0.8688524590163934,0.8888524590163936,0.9084699453551912,0.007590319330239769,0.9084699453551912,0.9241757741347907,0.930783242258652,0.00420844611576462,0.8104040404040405,0.6935858585858586,0.883030303030303,0.5856565656565658,0.5586111111111112,0.6042171717171717,0.6037710437710349,0.5854882154882105,0.6209090909090822,0.6695707070707071,0.6256691919191919,0.6948989898989899,0.7196363636363768,0.6690101010101004,0.7589898989899286,0.6174822260534591,0.5718050028480282,0.7670367691456575,0.9602020202020202,0.9406060606060606,0.98,0.8476767676767677,0.7852020202020201,0.8956313131313132,0.8583838383838263,0.8049494949494763,0.8929461279461199,0.7404292929292929,0.7153030303030303,0.7596085858585859,0.678606060606056,0.6615959595959521,0.6946868686868665,1.056849409431528,0.6929504230149981,1.2271475684880866,0.89,0.84,0.92,0.645,0.615,0.68,0.678333333333333,0.6474999999999995,0.7133333333333333,0.715,0.6925,0.7275,0.7179999999999995,0.7019999999999995,0.7299999999999994,5.019644580147462,2.496527219430739,6.2017853875550415,0.89,0.84,0.93,0.64,0.60875,0.68,0.6766666666666663,0.643333333333333,0.7166666666666663,0.71,0.69,0.7275,0.7159999999999995,0.6999999999999994,0.7299999999999993,5.112744717696918,2.5283814311266855,6.117278458600526
whobin_94,0.001,10,128,soft,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481480,0.8544395924308588,0.8678165938864627,0.8820960698689956,0.006456371217151417,0.8877551020408163,0.9074344023323618,0.9173955296404276,0.0055989244485851975,0.8647540983606558,0.8841939890710385,0.8989071038251366,0.006927872968705816,0.8929872495446266,0.9060109289617487,0.9139344262295082,0.004523121144567952,0.98,0.9602020202020202,1.0,0.7079797979797979,0.6907070707070707,0.7319696969696969,0.7818855218854975,0.7513131313131092,0.8108417508417276,0.804949494949495,0.7699494949494949,0.8304292929292929,0.7821414141414508,0.7590707070707321,0.8092525252525626,0.8476816518158706,0.7657238790821491,1.0187557387350452,0.98,0.9602020202020202,0.98,0.7987878787878788,0.7356313131313131,0.8558585858585859,0.8555218855218714,0.8138383838383598,0.9053198653198581,0.7751515151515151,0.7448989898989898,0.8035606060606061,0.7285252525252621,0.6975353535353555,0.7457878787878989,0.8267483239356024,0.7656901279931297,0.976622069557574,0.98,0.96,0.99,0.84,0.82,0.865,0.8800000000000001,0.8616666666666668,0.8966666666666668,0.86,0.8475,0.87625,0.8339999999999991,0.8279999999999987,0.8419999999999989,1.568795108772735,1.403953662595665,2.2022913762286005,0.98,0.96,0.99,0.84,0.815,0.865,0.876666666666667,0.8600000000000003,0.8941666666666669,0.8575,0.8475,0.875,0.8339999999999991,0.8279999999999988,0.8419999999999989,1.5551795321940625,1.3819488052973312,2.2292889693498967
whobin_50,0.001,10,128,soft,100,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481467,0.819672131147541,0.8702185792349728,0.9016393442622951,0.015773808769247045,0.8852459016393442,0.915610200364299,0.9298724954462659,0.008328449702216736,0.8797814207650273,0.8925136612021857,0.9193989071038251,0.005750311417641882,0.9166666666666666,0.9268897996357013,0.9339708561020036,0.003474218572685668,0.98,0.9408080808080808,0.98,0.6758585858585858,0.6558080808080808,0.698510101010101,0.7100673400673164,0.6917003367003173,0.7384511784511538,0.7924747474747476,0.772790404040404,0.8134343434343434,0.8839797979798332,0.8421212121212445,0.9112929292929454,1.021449136269334,0.6845586282554216,1.1481849356576392,0.98,0.98,1.0,0.9512121212121212,0.9236363636363636,0.9706060606060606,0.9604713804713816,0.9081649831649778,0.9800673400673401,0.7817171717171717,0.7586742424242424,0.7954419191919192,0.7087878787878783,0.6877979797979701,0.7267272727272782,0.9481237021003824,0.8755372446926742,1.0979894234573562,0.98,0.97,0.99,0.69,0.64125,0.735,0.6533333333333327,0.6333333333333325,0.683333333333333,0.6775,0.6575,0.689375,0.6719999999999997,0.6600000000000001,0.6839999999999996,4.208185192002719,3.808013318420148,5.0185948907917695,0.98,0.97,0.99,0.685,0.62875,0.735,0.6533333333333329,0.6333333333333327,0.683333333333333,0.6775,0.661875,0.69,0.6719999999999997,0.662,0.6839999999999997,4.242409625681969,3.870710079065169,5.016941286925682
whobin_50,0.2,10,128,relu,25,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480284,0.47540983606557374,0.8133060109289616,0.8770491803278688,0.08399322618076614,0.5400728597449909,0.793296903460838,0.8879781420765027,0.0723006692254551,0.5450819672131147,0.8809016393442621,0.9275956284153005,0.0449162295384786,0.558287795992714,0.9017486338797817,0.9298724954462659,0.03670683199294754,0.10646464646464647,0.09313131313131313,0.12136363636363637,0.1691919191919192,0.15722222222222224,0.18732323232323234,0.2226262626262655,0.21260942760943113,0.23978114478114576,0.2741161616161616,0.264760101010101,0.28748737373737376,0.3250707070707224,0.31538383838385375,0.3353737373737512,0.06282410336436245,0.04515288871188973,0.08592143313355997,0.5948484848484848,0.3517171717171717,0.7093939393939395,0.5553535353535354,0.43636363636363634,0.6152272727272727,0.5337373737373632,0.46897306397306354,0.566632996632991,0.5261868686868687,0.49277777777777776,0.5536616161616161,0.5317979797979779,0.513494949494947,0.5602727272727195,0.17577315853608527,0.1427564779367371,0.28828319797502105,0.26,0.23,0.2975,0.325,0.3,0.345,0.3899999999999998,0.36333333333333345,0.41000000000000014,0.435,0.4175,0.46,0.47800000000000015,0.4620000000000001,0.49399999999999994,1.2402772523860155,0.962054331571766,1.91385924104062,0.26,0.23,0.29,0.325,0.3,0.35,0.38666666666666677,0.36333333333333334,0.4099999999999999,0.4375,0.4175,0.4575,0.47799999999999987,0.462,0.4919999999999999,1.1531455816050502,0.9648849618086555,1.8912228786196208
whobin_94,0.001,10,128,relu,50,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480234,0.8864628820960698,0.8982823871906838,0.9155749636098981,0.005634823679504029,0.8945578231292517,0.9073275024295435,0.9173955296404276,0.00399869458630047,0.8907103825136612,0.9059016393442625,0.9193989071038251,0.005543418914933789,0.9052823315118397,0.9148315118397089,0.930783242258652,0.003912744155057526,0.521010101010101,0.3427272727272727,0.7022222222222222,0.5504040404040405,0.4695454545454546,0.6321717171717172,0.5690235690235674,0.538720538720538,0.6064309764309694,0.5892929292929293,0.5668939393939394,0.6079040404040403,0.598545454545448,0.5800808080808006,0.6211717171717153,0.49421733455998773,0.32772579965546633,0.6218366428764887,0.5374747474747474,0.3362121212121212,0.7237373737373738,0.6244949494949494,0.4671969696969697,0.7490656565656566,0.5784848484848404,0.528703703703702,0.6295286195285996,0.5704292929292929,0.5448989898989899,0.5895580808080808,0.5711515151515099,0.5486262626262581,0.5939090909090816,0.5636608224433126,0.31582987559302933,0.680444896689429,0.71,0.61,0.8,0.72,0.675,0.78,0.7300000000000001,0.7066666666666666,0.7599999999999999,0.74,0.7175,0.76,0.7499999999999994,0.7279999999999994,0.7719999999999991,1.4982530887022991,0.77824455453016,2.346945464127742,0.7,0.61,0.81,0.715,0.6737500000000001,0.78,0.73,0.7066666666666664,0.7541666666666667,0.7375,0.715,0.76,0.7479999999999998,0.7259999999999996,0.7719999999999994,1.4515444510122595,0.6915667567026654,2.296964650095157
whobin_62,0.2,10,128,soft,50,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481493,0.4650655021834061,0.5195851528384281,0.7816593886462883,0.08522863886344538,0.46647230320699706,0.5230247813411077,0.6712827988338192,0.033618064139686835,0.48770491803278687,0.5932923497267755,0.8688524590163934,0.12578685649203214,0.5109289617486339,0.576844262295082,0.8697632058287796,0.08804986891506879,0.05595959595959596,0.05393939393939394,0.058787878787878785,0.11181818181818182,0.1095959595959596,0.11401515151515151,0.16727272727273035,0.16552188552188868,0.1694276094276127,0.22300505050505048,0.22111111111111112,0.2253030303030303,0.27907070707072035,0.2772626262626403,0.28109090909092294,0.0038319641127516034,0.003593895926584434,0.004140977201601509,0.06444444444444444,0.06080808080808081,0.0692929292929293,0.12383838383838384,0.1202020202020202,0.1278030303030303,0.18202020202020636,0.17858585858586218,0.18653198653199093,0.23939393939393938,0.23555555555555555,0.2438510101010101,0.29519191919193233,0.2910202020202159,0.29915151515152943,0.014706884470861978,0.011720308565784921,0.02155746216125008,0.62,0.59,0.65,0.67,0.65,0.69,0.7066666666666664,0.6900000000000002,0.7200000000000002,0.73,0.72,0.745,0.7519999999999993,0.7419999999999994,0.7599999999999997,0.1489876178883054,0.12835308942734472,0.2684341924019745,0.625,0.59,0.65,0.67,0.65,0.69,0.7066666666666669,0.6933333333333331,0.7208333333333335,0.7325,0.72,0.7425,0.7519999999999994,0.7419999999999995,0.7599999999999996,0.15799714588604072,0.13178066895084176,0.2801248639647991
whobin_62,0.001,10,128,soft,100,5,adam,0,0,0,0,0.0,random,None,0.0,0.8,softplus,0,10481474,0.8471615720524017,0.8630131004366811,0.8842794759825328,0.006510944853926187,0.880466472303207,0.9128498542274057,0.9285714285714286,0.005721695046172569,0.8825136612021858,0.8994672131147535,0.9344262295081968,0.0061493470328235905,0.9093806921675774,0.9210109289617491,0.9280510018214936,0.00408742722954147,0.9604040404040404,0.9602020202020202,0.98,0.815050505050505,0.7341666666666666,0.8688636363636364,0.8179461279461079,0.7637373737373525,0.8587710437710362,0.7544191919191919,0.7206439393939393,0.782260101010101,0.74303030303032,0.678616161616155,0.7744949494949809,0.9933765862951792,0.646446257968097,1.1243786843639956,0.98,0.9602020202020202,0.98,0.8875252525252526,0.8427272727272728,0.9322727272727273,0.9474410774410802,0.9062626262626182,0.9608754208754224,0.8025252525252525,0.7615656565656566,0.8204545454545454,0.7579393939394137,0.6925353535353482,0.783262626262658,0.8935185219614313,0.8262112772725483,1.0302003349905964,0.97,0.96,0.98,0.91,0.875,0.94,0.9,0.8766666666666666,0.9166666666666667,0.8275,0.8075,0.84,0.7959999999999987,0.7799999999999989,0.811999999999999,2.5843298648600728,2.355740512426791,3.320237399187521,0.97,0.96,0.98,0.91,0.85875,0.935,0.9000000000000001,0.8733333333333335,0.9166666666666669,0.825,0.8025,0.8375,0.789999999999999,0.7759999999999991,0.8099999999999987,2.6202701811997233,2.3760952983739525,3.2402884639695717
whobin_62,0.2,10,128,relu,75,5,sgd,0,0,0,0,0.0,random,None,0.0,0.8,standard,0,10480274,0.8034934497816594,0.8619432314410476,0.8930131004366813,0.018319427878792954,0.8556851311953353,0.883622448979592,0.9067055393586005,0.011246738296256473,0.7062841530054644,0.8938661202185795,0.9371584699453552,0.03738963723650707,0.8902550091074681,0.908506375227687,0.9239526411657559,0.006786646677863,0.6604040404040404,0.5416161616161617,0.7591919191919192,0.5096464646464647,0.45224747474747473,0.5401262626262626,0.4960269360269356,0.4475252525252533,0.5243434343434317,0.5062121212121212,0.4725631313131313,0.5295328282828283,0.5204040404040331,0.4981818181818174,0.5396262626262582,0.08323084779066853,0.07210881814944851,0.13605379069404083,0.5982828282828283,0.3228787878787879,0.8463131313131314,0.6027777777777779,0.4432070707070707,0.7484848484848485,0.5759595959595933,0.49156565656565887,0.6199999999999927,0.547070707070707,0.5197348484848485,0.5661742424242424,0.5437171717171689,0.5280606060606041,0.567808080808075,0.10936891405057861,0.08354823367907185,0.16177286592273898,0.71,0.4825,0.85,0.615,0.57,0.645,0.6299999999999997,0.5941666666666665,0.663333333333333,0.6487499999999999,0.6225,0.685,0.6679999999999996,0.6419999999999998,0.6959999999999995,0.43760089240159683,0.3504209299691996,0.6697464581132688,0.69,0.48,0.84,0.605,0.56,0.64,0.623333333333333,0.5933333333333333,0.6599999999999996,0.6475,0.6218750000000001,0.68,0.6679999999999997,0.6400000000000001,0.6939999999999996,0.42493591760077104,0.3220198149989384,0.679749375896219
